ref_count,count
1,727267730
2,1162757
3,286864
4,173301
5,93446
6,67190
7,38730
8,28323
9,20442
10,16073
11,12342
12,11123
13,8077
14,7062
15,5906
16,7115
17,5979
18,4202
19,3617
20,3701
21,3024
22,2808
23,2432
24,2395
25,2266
26,2026
27,2077
28,2874
29,2744
30,2027
31,1756
32,1818
33,1684
34,1371
35,1353
36,1185
37,1368
38,1372
39,977
40,1111
41,917
42,857
43,772
44,770
45,658
46,687
47,584
48,653
49,536
50,620
51,500
52,485
53,475
54,427
55,409
56,443
57,415
58,436
59,519
60,513
61,384
62,377
63,341
64,325
65,309
66,394
67,505
68,421
69,344
70,371
71,329
72,372
73,314
74,287
75,296
76,289
77,278
78,284
79,241
80,300
81,260
82,270
83,218
84,281
85,282
86,248
87,185
88,207
89,229
90,229
91,230
92,202
93,158
94,217
95,173
96,154
97,172
98,240
99,280
100,300
101,211
102,166
103,138
104,146
105,164
106,155
107,134
108,141
109,135
110,144
111,131
112,135
113,99
114,115
115,90
116,110
117,99
118,100
119,104
120,120
121,95
122,97
123,92
124,103
125,85
126,98
127,94
128,125
129,96
130,110
131,98
132,105
133,120
134,110
135,127
136,103
137,89
138,108
139,107
140,82
141,71
142,75
143,67
144,83
145,93
146,108
147,147
148,173
149,157
150,119
151,63
152,63
153,70
154,70
155,54
156,61
157,75
158,63
159,64
160,58
161,66
162,69
163,69
164,59
165,53
166,53
167,47
168,55
169,44
170,46
171,57
172,67
173,68
174,61
175,93
176,82
177,72
178,80
179,70
180,55
181,50
182,62
183,43
184,47
185,51
186,67
187,44
188,42
189,63
190,45
191,39
192,30
193,42
194,39
195,42
196,39
197,32
198,36
199,35
200,43
201,40
202,50
203,36
204,36
205,35
206,58
207,50
208,57
209,49
210,47
211,60
212,51
213,51
214,28
215,40
216,26
217,29
218,35
219,39
220,38
221,28
222,27
223,41
224,29
225,28
226,29
227,29
228,27
229,24
230,23
231,39
232,39
233,22
234,28
235,23
236,25
237,31
238,27
239,29
240,22
241,31
242,20
243,26
244,21
245,20
246,25
247,21
248,23
249,23
250,23
251,33
252,23
253,21
254,24
255,27
256,26
257,17
258,31
259,22
260,25
261,27
262,20
263,28
264,26
265,28
266,23
267,20
268,21
269,34
270,30
271,33
272,31
273,22
274,24
275,19
276,34
277,39
278,30
279,35
280,34
281,20
282,25
283,22
284,23
285,16
286,27
287,22
288,21
289,30
290,23
291,28
292,21
293,30
294,25
295,19
296,33
297,40
298,19
299,20
300,26
301,18
302,18
303,18
304,21
305,19
306,24
307,24
308,27
309,30
310,32
311,21
312,27
313,13
314,25
315,17
316,14
317,19
318,19
319,17
320,21
321,22
322,24
323,14
324,18
325,21
326,21
327,19
328,20
329,12
330,17
331,25
332,25
333,37
334,30
335,17
336,18
337,14
338,18
339,20
340,19
341,21
342,15
343,18
344,22
345,22
346,14
347,15
348,21
349,17
350,11
351,16
352,12
353,14
354,15
355,10
356,15
357,14
358,15
359,12
360,13
361,10
362,20
363,14
